facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,image4_1,image4_2,image4_3,query
"Compare Bushnell, Callaway and Garmin golf gps systems.",F0462,210,golf gps,210_Q05197_1255_1.jpg,210_Q05197_1255_2.jpg,210_Q05197_1255_3.jpg,210_Q05201_1259_1.jpg,210_Q05201_1259_2.jpg,210_Q05201_1259_3.jpg,210_Q02794_3005_1.jpg,210_Q02794_3005_2.jpg,210_Q02794_3005_3.jpg,210_Q00847_675_1.jpg,210_Q00847_675_2.jpg,210_Q00847_675_3.jpg,The user is interested in obtaining a GPS device for golf.
What were the causes of the American revolutionary war?,F0631,260,the american revolutionary,260_Q01771_3565_1.jpg,260_Q01771_3565_2.jpg,260_Q01771_3565_3.jpg,260_Q03956_14_1.jpg,260_Q03956_14_2.jpg,260_Q03956_14_3.jpg,260_Q03958_16_1.jpg,260_Q03958_16_2.jpg,260_Q03958_16_3.jpg,260_Q01908_2958_1.jpg,260_Q01908_2958_2.jpg,260_Q01908_2958_3.jpg,Know the causes of wars.
How do you get a ham radio license?,F0540,235,ham radio,235_Q04749_807_1.jpg,235_Q04749_807_2.jpg,235_Q04749_807_3.jpg,235_Q03175_2708_1.jpg,235_Q03175_2708_2.jpg,235_Q03175_2708_3.jpg,235_Q03747_1822_1.jpg,235_Q03747_1822_2.jpg,235_Q03747_1822_3.jpg,235_Q02086_2461_1.jpg,235_Q02086_2461_2.jpg,235_Q02086_2461_3.jpg,Learn how to get a ham radio license.
Find instructions for using a sewing machine.,F0939,69,sewing instructions,69_Q00579_3585_1.jpg,69_Q00579_3585_2.jpg,69_Q00579_3585_3.jpg,69_Q02675_1323_1.jpg,69_Q02675_1323_2.jpg,69_Q02675_1323_3.jpg,69_Q03755_3765_1.jpg,69_Q03755_3765_2.jpg,69_Q03755_3765_3.jpg,69_Q03932_2225_1.jpg,69_Q03932_2225_2.jpg,69_Q03932_2225_3.jpg,Find written instructions for using a sewing machine.
What are the health benefits associated with eating dark chocolate?,F0539,234,dark chocolate health benefits,234_Q01750_2657_1.jpg,234_Q01750_2657_2.jpg,234_Q01750_2657_3.jpg,234_Q05463_1521_1.jpg,234_Q05463_1521_2.jpg,234_Q05463_1521_3.jpg,234_Q00430_2304_1.jpg,234_Q00430_2304_2.jpg,234_Q00430_2304_3.jpg,234_Q05459_1517_1.jpg,234_Q05459_1517_2.jpg,234_Q05459_1517_3.jpg,Learn about the health benefits of eating dark chocolate.
How can one prevent altitude sickness?,F0754,297,altitude sickness,297_Q02020_2433_1.jpg,297_Q02020_2433_2.jpg,297_Q02020_2433_3.jpg,297_Q01112_3700_1.jpg,297_Q01112_3700_2.jpg,297_Q01112_3700_3.jpg,297_Q04661_719_1.jpg,297_Q04661_719_2.jpg,297_Q04661_719_3.jpg,297_Q04659_717_1.jpg,297_Q04659_717_2.jpg,297_Q04659_717_3.jpg,Looking for ways to avoid altitude sickness.
Find tips on grilling fish.,F0244,160,grilling,160_Q00844_2841_1.jpg,160_Q00844_2841_2.jpg,160_Q00844_2841_3.jpg,160_Q01207_1128_1.jpg,160_Q01207_1128_2.jpg,160_Q01207_1128_3.jpg,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,Finding tips on grilling fish.
Is there a golf gps app for the Iphone?,F0463,210,golf gps,210_Q03153_3921_1.jpg,210_Q03153_3921_2.jpg,210_Q03153_3921_3.jpg,210_Q03552_2528_1.jpg,210_Q03552_2528_2.jpg,210_Q03552_2528_3.jpg,210_Q05196_1254_1.jpg,210_Q05196_1254_2.jpg,210_Q05196_1254_3.jpg,210_Q00847_675_1.jpg,210_Q00847_675_2.jpg,210_Q00847_675_3.jpg,Learn about golf GPS apps for iPhone.
Where can I find organic or chemical free hair dye products?,F0536,233,hair dye,233_Q01668_2583_1.jpg,233_Q01668_2583_2.jpg,233_Q01668_2583_3.jpg,233_Q03504_1502_1.jpg,233_Q03504_1502_2.jpg,233_Q03504_1502_3.jpg,233_Q05058_1116_1.jpg,233_Q05058_1116_2.jpg,233_Q05058_1116_3.jpg,233_Q02711_701_1.jpg,233_Q02711_701_2.jpg,233_Q02711_701_3.jpg,Find organic and chemical-free hair dye.
Find pages or sites that describe the anatomy of the forearm.,F1016,88,forearm pain,88_Q05045_1103_1.jpg,88_Q05045_1103_2.jpg,88_Q05045_1103_3.jpg,88_Q01542_463_1.jpg,88_Q01542_463_2.jpg,88_Q01542_463_3.jpg,88_Q00680_652_1.jpg,88_Q00680_652_2.jpg,88_Q00680_652_3.jpg,88_Q05046_1104_1.jpg,88_Q05046_1104_2.jpg,88_Q05046_1104_3.jpg,Find information on the anatomy of the forearm.
Do carpenter bees sting?,F0623,259,carpenter bee,259_Q05411_1469_1.jpg,259_Q05411_1469_2.jpg,259_Q05411_1469_3.jpg,259_Q03496_3377_1.jpg,259_Q03496_3377_2.jpg,259_Q03496_3377_3.jpg,259_Q03488_252_1.jpg,259_Q03488_252_2.jpg,259_Q03488_252_3.jpg,259_Q02146_1825_1.jpg,259_Q02146_1825_2.jpg,259_Q02146_1825_3.jpg,"The user is interested in knowing about the appearance of a carpenter bee nest, the harm they can cause, and whether carpenter bees sting."
How do you cook dried cannellini beans?,F0561,242,cannellini beans,242_Q00557_1463_1.jpg,242_Q00557_1463_2.jpg,242_Q00557_1463_3.jpg,242_Q03616_333_1.jpg,242_Q03616_333_2.jpg,242_Q03616_333_3.jpg,242_Q02017_1861_1.jpg,242_Q02017_1861_2.jpg,242_Q02017_1861_3.jpg,242_Q00311_595_1.jpg,242_Q00311_595_2.jpg,242_Q00311_595_3.jpg,Making soup with cannellini beans.
I need a septic system contractor.,F0232,158,septic system design,158_Q04027_85_1.jpg,158_Q04027_85_2.jpg,158_Q04027_85_3.jpg,158_Q01783_2694_1.jpg,158_Q01783_2694_2.jpg,158_Q01783_2694_3.jpg,158_Q00127_3583_1.jpg,158_Q00127_3583_2.jpg,158_Q00127_3583_3.jpg,158_Q00124_742_1.jpg,158_Q00124_742_2.jpg,158_Q00124_742_3.jpg,User is focusing on other plans for waste management rather than specific septic tank design aspects.
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg,The user is interested in learning about the recovery prospects after carpal tunnel surgery.
Find information about the real person on which the Rain Man movie is based.,F0577,247,rain man,247_Q03677_3280_1.jpg,247_Q03677_3280_2.jpg,247_Q03677_3280_3.jpg,247_Q05088_1146_1.jpg,247_Q05088_1146_2.jpg,247_Q05088_1146_3.jpg,247_Q02351_2636_1.jpg,247_Q02351_2636_2.jpg,247_Q02351_2636_3.jpg,247_Q05086_1144_1.jpg,247_Q05086_1144_2.jpg,247_Q05086_1144_3.jpg,"Learn about the real-life inspiration behind the movie ""Rain Man."""
What are the educational benefits of social networking sites?,F0746,293,educational advantages of social networking sites,293_Q01571_2142_1.jpg,293_Q01571_2142_2.jpg,293_Q01571_2142_3.jpg,293_Q02110_3061_1.jpg,293_Q02110_3061_2.jpg,293_Q02110_3061_3.jpg,293_Q02913_650_1.jpg,293_Q02913_650_2.jpg,293_Q02913_650_3.jpg,293_Q02818_3423_1.jpg,293_Q02818_3423_2.jpg,293_Q02818_3423_3.jpg,Understanding the educational benefits of social networking sites.
Find instructions for grilling chicken.,F0245,160,grilling,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,160_Q05039_1097_1.jpg,160_Q05039_1097_2.jpg,160_Q05039_1097_3.jpg,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,Learning about grilling techniques and instructions for grilling chicken.
"""Where can I buy Pink Floyd's album, """"The Wall""""?""",F1039,92,the wall,92_Q01276_3126_1.jpg,92_Q01276_3126_2.jpg,92_Q01276_3126_3.jpg,92_Q00683_3248_1.jpg,92_Q00683_3248_2.jpg,92_Q00683_3248_3.jpg,92_Q01288_542_1.jpg,92_Q01288_542_2.jpg,92_Q01288_542_3.jpg,92_Q03624_3393_1.jpg,92_Q03624_3393_2.jpg,92_Q03624_3393_3.jpg,Exploring options for purchasing a specific album.
I'm looking for companies that manufacture residential toilets.,F0811,4,toilet,4_Q03580_154_1.jpg,4_Q03580_154_2.jpg,4_Q03580_154_3.jpg,4_Q04767_825_1.jpg,4_Q04767_825_2.jpg,4_Q04767_825_3.jpg,4_Q01034_1313_1.jpg,4_Q01034_1313_2.jpg,4_Q01034_1313_3.jpg,4_Q02929_1751_1.jpg,4_Q02929_1751_2.jpg,4_Q02929_1751_3.jpg,Seeking information on companies that manufacture residential toilets.
What hair dye options should be considered during pregnancy?,F0537,233,hair dye,233_Q01674_2616_1.jpg,233_Q01674_2616_2.jpg,233_Q01674_2616_3.jpg,233_Q02578_276_1.jpg,233_Q02578_276_2.jpg,233_Q02578_276_3.jpg,233_Q05058_1116_1.jpg,233_Q05058_1116_2.jpg,233_Q05058_1116_3.jpg,233_Q05059_1117_1.jpg,233_Q05059_1117_2.jpg,233_Q05059_1117_3.jpg,The user's intent is to know if hair dye is safe during pregnancy.
Find tips on grilling fish.,F0244,160,grilling,160_Q01979_2885_1.jpg,160_Q01979_2885_2.jpg,160_Q01979_2885_3.jpg,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg,Tips and techniques for grilling fish.
"Find cures for baldness (other than hair replacement, hair transplants, or wigs).",F0634,262,balding cure,262_Q04851_909_1.jpg,262_Q04851_909_2.jpg,262_Q04851_909_3.jpg,262_Q01793_3936_1.jpg,262_Q01793_3936_2.jpg,262_Q01793_3936_3.jpg,262_Q00073_215_1.jpg,262_Q00073_215_2.jpg,262_Q00073_215_3.jpg,262_Q04849_907_1.jpg,262_Q04849_907_2.jpg,262_Q04849_907_3.jpg,"Exploring alternatives to find cures for baldness beyond hair replacement, transplants, or wigs, targeted towards men."
What is ammonia used for in pink slime?,F0763,299,pink slime in ground beef,299_Q00375_307_1.jpg,299_Q00375_307_2.jpg,299_Q00375_307_3.jpg,299_Q03743_2245_1.jpg,299_Q03743_2245_2.jpg,299_Q03743_2245_3.jpg,299_Q03149_681_1.jpg,299_Q03149_681_2.jpg,299_Q03149_681_3.jpg,299_Q02130_2691_1.jpg,299_Q02130_2691_2.jpg,299_Q02130_2691_3.jpg,Understanding the use of ammonia in pink slime.
"""What songs were sung on """"Mister Rogers' Neighborhood""""?""",F0689,278,mister rogers,278_Q04468_526_1.jpg,278_Q04468_526_2.jpg,278_Q04468_526_3.jpg,278_Q03258_963_1.jpg,278_Q03258_963_2.jpg,278_Q03258_963_3.jpg,278_Q00067_3026_1.jpg,278_Q00067_3026_2.jpg,278_Q00067_3026_3.jpg,278_Q01231_3571_1.jpg,278_Q01231_3571_2.jpg,278_Q01231_3571_3.jpg,Wants information about the songs sung on Mister Rogers' show.
Suggest tourist activities in Barbados.,F0275,167,barbados,167_Q00150_2772_1.jpg,167_Q00150_2772_2.jpg,167_Q00150_2772_3.jpg,167_Q04796_854_1.jpg,167_Q04796_854_2.jpg,167_Q04796_854_3.jpg,167_Q04792_850_1.jpg,167_Q04792_850_2.jpg,167_Q04792_850_3.jpg,167_Q00149_3278_1.jpg,167_Q00149_3278_2.jpg,167_Q00149_3278_3.jpg,Suggested tourist activities in Barbados.
What causes angular cheilitis?,F0207,152,angular cheilitis,152_Q04383_441_1.jpg,152_Q04383_441_2.jpg,152_Q04383_441_3.jpg,152_Q00008_1369_1.jpg,152_Q00008_1369_2.jpg,152_Q00008_1369_3.jpg,152_Q00767_2715_1.jpg,152_Q00767_2715_2.jpg,152_Q00767_2715_3.jpg,152_Q04381_439_1.jpg,152_Q04381_439_2.jpg,152_Q04381_439_3.jpg,Understanding the causes of angular cheilitis.
Find information about penguins.,F0893,58,penguins,58_Q02463_2912_1.jpg,58_Q02463_2912_2.jpg,58_Q02463_2912_3.jpg,58_Q03305_365_1.jpg,58_Q03305_365_2.jpg,58_Q03305_365_3.jpg,58_Q04169_227_1.jpg,58_Q04169_227_2.jpg,58_Q04169_227_3.jpg,58_Q00121_2853_1.jpg,58_Q00121_2853_2.jpg,58_Q00121_2853_3.jpg,Finding information about different types of penguins.
How do I register to take the SAT exam?,F1060,98,sat,98_Q04058_116_1.jpg,98_Q04058_116_2.jpg,98_Q04058_116_3.jpg,98_Q03426_2747_1.jpg,98_Q03426_2747_2.jpg,98_Q03426_2747_3.jpg,98_Q01682_3464_1.jpg,98_Q01682_3464_2.jpg,98_Q01682_3464_3.jpg,98_Q04060_118_1.jpg,98_Q04060_118_2.jpg,98_Q04060_118_3.jpg,The user wants to know about the SAT registration process.
names of artists who have recorded songs about Mother's Day,F0133,132,mothers day songs,132_Q00748_1688_1.jpg,132_Q00748_1688_2.jpg,132_Q00748_1688_3.jpg,132_Q00374_602_1.jpg,132_Q00374_602_2.jpg,132_Q00374_602_3.jpg,132_Q02584_1427_1.jpg,132_Q02584_1427_2.jpg,132_Q02584_1427_3.jpg,132_Q05280_1338_1.jpg,132_Q05280_1338_2.jpg,132_Q05280_1338_3.jpg,Explore a list of artists who have songs about Mother's Day.
What are the benefits of various yoga poses?,F0725,289,benefits of yoga,289_Q04255_313_1.jpg,289_Q04255_313_2.jpg,289_Q04255_313_3.jpg,289_Q03469_796_1.jpg,289_Q03469_796_2.jpg,289_Q03469_796_3.jpg,289_Q04257_315_1.jpg,289_Q04257_315_2.jpg,289_Q04257_315_3.jpg,289_Q03392_1223_1.jpg,289_Q03392_1223_2.jpg,289_Q03392_1223_3.jpg,Learn about the benefits of various yoga poses for a pregnant woman.
Where can I learn about rock painting or buy a rock-painting kit?,F0308,174,rock art,174_Q01915_1143_1.jpg,174_Q01915_1143_2.jpg,174_Q01915_1143_3.jpg,174_Q01804_448_1.jpg,174_Q01804_448_2.jpg,174_Q01804_448_3.jpg,174_Q01852_3873_1.jpg,174_Q01852_3873_2.jpg,174_Q01852_3873_3.jpg,174_Q02096_1790_1.jpg,174_Q02096_1790_2.jpg,174_Q02096_1790_3.jpg,"View pictures of rock art, learn how to perform rock art, and find out where to learn about rock painting or buy a rock-painting kit."
How is CTS diagnosed?,F0475,213,carpal tunnel syndrome,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,Understanding the diagnostic process for carpal tunnel syndrome.
"Find information about the Sun, the star in our Solar System.",F0953,72,the sun,72_Q03985_43_1.jpg,72_Q03985_43_2.jpg,72_Q03985_43_3.jpg,72_Q00666_3249_1.jpg,72_Q00666_3249_2.jpg,72_Q00666_3249_3.jpg,72_Q03982_40_1.jpg,72_Q03982_40_2.jpg,72_Q03982_40_3.jpg,72_Q02028_1272_1.jpg,72_Q02028_1272_2.jpg,72_Q02028_1272_3.jpg,Find comprehensive information and visuals about the Sun.
Do the signs of a heart attack differ between men and women?,F0314,175,signs of a heartattack,175_Q03377_2930_1.jpg,175_Q03377_2930_2.jpg,175_Q03377_2930_3.jpg,175_Q03243_1178_1.jpg,175_Q03243_1178_2.jpg,175_Q03243_1178_3.jpg,175_Q00041_759_1.jpg,175_Q00041_759_2.jpg,175_Q00041_759_3.jpg,175_Q00055_671_1.jpg,175_Q00055_671_2.jpg,175_Q00055_671_3.jpg,Learn about differences in heart attack symptoms between men and women.
Find Barret's Esophagus studies performed at the Mayo Clinic.,F0603,254,barrett's esophagus,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,254_Q03658_1037_1.jpg,254_Q03658_1037_2.jpg,254_Q03658_1037_3.jpg,254_Q02390_3414_1.jpg,254_Q02390_3414_2.jpg,254_Q02390_3414_3.jpg,Learn more about Mayo Clinic studies on Barrett's esophagus.
What is the material PVC?,F0935,68,pvc,68_Q04067_125_1.jpg,68_Q04067_125_2.jpg,68_Q04067_125_3.jpg,68_Q04068_126_1.jpg,68_Q04068_126_2.jpg,68_Q04068_126_3.jpg,68_Q02911_1099_1.jpg,68_Q02911_1099_2.jpg,68_Q02911_1099_3.jpg,68_Q00238_2918_1.jpg,68_Q00238_2918_2.jpg,68_Q00238_2918_3.jpg,"Understanding the properties, uses, and manufacturing process of PVC."
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,213_Q03486_31_1.jpg,213_Q03486_31_2.jpg,213_Q03486_31_3.jpg,Exploring treatment or management options and recovery for carpal tunnel syndrome.
Find puppies of designer dog breeds for sale.,F0388,194,designer dog breeds,194_Q04914_972_1.jpg,194_Q04914_972_2.jpg,194_Q04914_972_3.jpg,194_Q02333_1993_1.jpg,194_Q02333_1993_2.jpg,194_Q02333_1993_3.jpg,194_Q03126_2740_1.jpg,194_Q03126_2740_2.jpg,194_Q03126_2740_3.jpg,194_Q01650_3744_1.jpg,194_Q01650_3744_2.jpg,194_Q01650_3744_3.jpg,"Finding puppies of designer dog breeds for sale, especially specific hybrids."
What is the nutritional value of white rice?,F1056,96,rice,96_Q00694_2420_1.jpg,96_Q00694_2420_2.jpg,96_Q00694_2420_3.jpg,96_Q00984_3825_1.jpg,96_Q00984_3825_2.jpg,96_Q00984_3825_3.jpg,96_Q02197_29_1.jpg,96_Q02197_29_2.jpg,96_Q02197_29_3.jpg,96_Q02073_3193_1.jpg,96_Q02073_3193_2.jpg,96_Q02073_3193_3.jpg,The user is interested in the nutritional value of rice.
Find InuYasha anime episodes for download.,F0698,28,inuyasha,28_Q05146_1204_1.jpg,28_Q05146_1204_2.jpg,28_Q05146_1204_3.jpg,28_Q03533_3611_1.jpg,28_Q03533_3611_2.jpg,28_Q03533_3611_3.jpg,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05147_1205_1.jpg,28_Q05147_1205_2.jpg,28_Q05147_1205_3.jpg,Download the Inuyasha series.
"""Find lesson plans or classroom activities related to """"Holes"""" by Louis Sachar.""",F0611,257,holes by louis sachar,257_Q00126_1432_1.jpg,257_Q00126_1432_2.jpg,257_Q00126_1432_3.jpg,257_Q05426_1484_1.jpg,257_Q05426_1484_2.jpg,257_Q05426_1484_3.jpg,257_Q01507_1576_1.jpg,257_Q01507_1576_2.jpg,257_Q01507_1576_3.jpg,257_Q05424_1482_1.jpg,257_Q05424_1482_2.jpg,257_Q05424_1482_3.jpg,"Obtaining lesson plans for the book ""Holes"" by Louis Sachar."
I want to read about the debate between John McCain and Barack Obama hosted by Rick Warren.,F0501,22,rick warren,22_Q04840_898_1.jpg,22_Q04840_898_2.jpg,22_Q04839_897_3.jpg,22_Q01606_2782_1.jpg,22_Q01606_2782_2.jpg,22_Q01606_2782_3.jpg,22_Q01364_822_1.jpg,22_Q01364_822_2.jpg,22_Q01364_822_3.jpg,22_Q01422_1010_1.jpg,22_Q01422_1010_2.jpg,22_Q01422_1010_3.jpg,Read about the debate hosted by Rick Warren between John McCain and Barack Obama.
What solar water fountains are available for gardens.,F0492,218,solar water fountains,218_Q05289_1347_1.jpg,218_Q05289_1347_2.jpg,218_Q05289_1347_3.jpg,218_Q00239_490_1.jpg,218_Q00239_490_2.jpg,218_Q00239_490_3.jpg,218_Q03064_1982_1.jpg,218_Q03064_1982_2.jpg,218_Q03064_1982_3.jpg,218_Q05287_1345_1.jpg,218_Q05287_1345_2.jpg,218_Q05287_1345_3.jpg,"Learn about solar water fountains suitable for gardens, especially bird bath options."
What are the nutritional facts for cannellini beans?,F0563,242,cannellini beans,242_Q03616_333_1.jpg,242_Q03616_333_2.jpg,242_Q03616_333_3.jpg,242_Q01227_2756_1.jpg,242_Q01227_2756_2.jpg,242_Q01227_2756_3.jpg,242_Q04642_700_1.jpg,242_Q04642_700_2.jpg,242_Q04642_700_3.jpg,242_Q04643_701_1.jpg,242_Q04643_701_2.jpg,242_Q04643_701_3.jpg,Find nutritional information for cannellini beans.
Find quotes from Mister Rogers.,F0687,278,mister rogers,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q03400_2532_1.jpg,278_Q03400_2532_2.jpg,278_Q03400_2532_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,278_Q00431_1417_1.jpg,278_Q00431_1417_2.jpg,278_Q00431_1417_3.jpg,"The user is interested in the dialogue, thoughts shared on the show, and possibly a documentary if it quotes Mr. Rogers."
Find a synopsis of Doctor Zhivago.,F0446,208,doctor zhivago,208_Q03555_2131_1.jpg,208_Q03555_2131_2.jpg,208_Q03555_2131_3.jpg,208_Q03292_3046_1.jpg,208_Q03292_3046_2.jpg,208_Q03292_3046_3.jpg,208_Q03415_549_1.jpg,208_Q03415_549_2.jpg,208_Q03415_549_3.jpg,208_Q03542_2192_1.jpg,208_Q03542_2192_2.jpg,208_Q03542_2192_3.jpg,Find a synopsis of the 1965 film Doctor Zhivago.
Find information about Mister Rogers' Purple Panda.,F0690,278,mister rogers,278_Q00431_1417_1.jpg,278_Q00431_1417_2.jpg,278_Q00431_1417_3.jpg,278_Q00488_1611_1.jpg,278_Q00488_1611_2.jpg,278_Q00488_1611_3.jpg,278_Q00209_2861_1.jpg,278_Q00209_2861_2.jpg,278_Q00209_2861_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,Finding information about Mister Rogers' Purple Panda.
Where can I find organic or chemical free hair dye products?,F0536,233,hair dye,233_Q02752_890_1.jpg,233_Q02752_890_2.jpg,233_Q02752_890_3.jpg,233_Q00221_2957_1.jpg,233_Q00221_2957_2.jpg,233_Q00221_2957_3.jpg,233_Q01556_143_1.jpg,233_Q01556_143_2.jpg,233_Q01556_143_3.jpg,233_Q05059_1117_1.jpg,233_Q05059_1117_2.jpg,233_Q05059_1117_3.jpg,See a variety of organic hair dye.
What went into writing/publishing the book Doctor Zhivago?,F0445,208,doctor zhivago,208_Q01272_3555_1.jpg,208_Q01272_3555_2.jpg,208_Q01272_3555_3.jpg,208_Q03292_3046_1.jpg,208_Q03292_3046_2.jpg,208_Q03292_3046_3.jpg,208_Q04317_375_1.jpg,208_Q04317_375_2.jpg,208_Q04317_375_3.jpg,208_Q02554_1444_1.jpg,208_Q02554_1444_2.jpg,208_Q02554_1444_3.jpg,The user wants information about the book.
information on vines that can be grown in shady areas,F0177,145,vines for shade,145_Q02098_43_1.jpg,145_Q02098_43_2.jpg,145_Q02098_43_3.jpg,145_Q02308_438_1.jpg,145_Q02308_438_2.jpg,145_Q02308_438_3.jpg,145_Q04437_495_1.jpg,145_Q04437_495_2.jpg,145_Q04437_495_3.jpg,145_Q04438_496_1.jpg,145_Q04438_496_2.jpg,145_Q04438_496_3.jpg,Seeking information on vines that can be grown in shady areas.
What are examples of the philosophy of Sun Tzu?,F0656,270,sun tzu,270_Q04163_221_1.jpg,270_Q04163_221_2.jpg,270_Q04163_221_3.jpg,270_Q02157_1584_1.jpg,270_Q02157_1584_2.jpg,270_Q02157_1584_3.jpg,270_Q04162_220_1.jpg,270_Q04162_220_2.jpg,270_Q04162_220_3.jpg,270_Q04164_222_1.jpg,270_Q04164_222_2.jpg,270_Q04164_222_3.jpg,The user is interested in the ideas and strategies outlined in Sun Tzu's writings and examples of his philosophy.
What are the withdrawal limitations for a 403b retirement plan?,F0205,151,403b,151_Q04003_61_1.jpg,151_Q04003_61_2.jpg,151_Q04003_61_3.jpg,151_Q01960_2445_1.jpg,151_Q01960_2445_2.jpg,151_Q01960_2445_3.jpg,151_Q01576_2874_1.jpg,151_Q01576_2874_2.jpg,151_Q01576_2874_3.jpg,151_Q04005_63_1.jpg,151_Q04005_63_2.jpg,151_Q04005_63_3.jpg,Exploring and gathering information about a 403b retirement plan.
How is a credit score determined?,F0359,185,credit report,185_Q03518_364_1.jpg,185_Q03518_364_2.jpg,185_Q03518_364_3.jpg,185_Q01396_500_1.jpg,185_Q01396_500_2.jpg,185_Q01396_500_3.jpg,185_Q04874_932_1.jpg,185_Q04874_932_2.jpg,185_Q04874_932_3.jpg,185_Q00292_722_1.jpg,185_Q00292_722_2.jpg,185_Q00292_722_3.jpg,Understand how credit scores are calculated.
Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,The user is interested in finding free internet options.
Find information on the artwork used on rock music album covers.,F0312,174,rock art,174_Q01852_3873_1.jpg,174_Q01852_3873_2.jpg,174_Q01852_3873_3.jpg,174_Q01841_3284_1.jpg,174_Q01841_3284_2.jpg,174_Q01841_3284_3.jpg,174_Q01210_3649_1.jpg,174_Q01210_3649_2.jpg,174_Q01210_3649_3.jpg,174_Q00830_432_1.jpg,174_Q00830_432_2.jpg,174_Q00830_432_3.jpg,Finding information on the artwork used on rock music album covers.
Find tips on grilling fish.,F0244,160,grilling,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,Looking for tips on grilling fish.
Find information about supports and braces for the forearm to prevent injury or lessen pain.,F1020,88,forearm pain,88_Q00405_2025_1.jpg,88_Q00405_2025_2.jpg,88_Q00405_2025_3.jpg,88_Q00778_1363_1.jpg,88_Q00778_1363_2.jpg,88_Q00778_1363_3.jpg,88_Q05045_1103_1.jpg,88_Q05045_1103_2.jpg,88_Q05045_1103_3.jpg,88_Q05046_1104_1.jpg,88_Q05046_1104_2.jpg,88_Q05046_1104_3.jpg,Finding information about supports and braces for the forearm to prevent injury or lessen pain.
