id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3
194,Whom can I contact if I think I am being discriminated against by an equal opportunity employer?,F0130,131,equal opportunity employer,Would you like to search for a job with an eqal opportunity employwer?,"No, I am currently not interested in searching for a job with an equal opportunity employer.",Q04778,131_Q04778_836_1.jpg,131_Q04778_836_2.jpg,131_Q04778_836_3.jpg,Were you wanting to see equal opportunity employer statements?,"I’m not specifically looking for those statements right now, but I have some concerns I’d like to address.",Q04774,131_Q04774_832_1.jpg,131_Q04774_832_2.jpg,131_Q04774_832_3.jpg,what do you need to know about equal opportunity employment,I want to know who to contact if I feel I'm being discriminated against by an equal opportunity employer.,Q02763,131_Q02763_3797_1.jpg,131_Q02763_3797_2.jpg,131_Q02763_3797_3.jpg
195,Find the homepage of the Equal Employment Opportunity Commission.,F0131,131,equal opportunity employer,Were you wanting to see equal opportunity employer statements?,"No, that’s not what I am looking for.",Q04774,131_Q04774_832_1.jpg,131_Q04774_832_2.jpg,131_Q04774_832_3.jpg,would you like to know if you are eligible for equal opportunity employment,"I’m not focused on eligibility right now, but I do have an interest in resources related to employment opportunities.",Q03508,131_Q03508_1739_1.jpg,131_Q03508_1739_2.jpg,131_Q03508_1739_3.jpg,Are you searching for equal opportunity emploer posters?,No i'm looking for the homepage for the equal employment opportunity commission.,Q04773,131_Q04773_831_1.jpg,131_Q04773_831_2.jpg,131_Q04773_831_3.jpg
196,lyrics of songs written for Mothers' Day,F0132,132,mothers day songs,Are you interested in mothers day songs for church?,"No, I am not looking for songs for church.",Q05284,132_Q05284_1342_1.jpg,132_Q05284_1342_2.jpg,132_Q05284_1342_3.jpg,Are you interested in Mother's Day songs for karaoke?,I'm interested in some specific songs that would fit the occasion.,Q05281,132_Q05281_1339_1.jpg,132_Q05281_1339_2.jpg,132_Q05281_1339_3.jpg,Are you looking for pop songs about Mother's Day?,"Yes, I am looking for lyrics of songs written for Mother's Day.",Q05280,132_Q05280_1338_1.jpg,132_Q05280_1338_2.jpg,132_Q05280_1338_3.jpg
197,lyrics of songs written for Mothers' Day,F0132,132,mothers day songs,Are you interested in mothers day songs for church?,"No, I'm not seeking songs specifically for church.",Q05284,132_Q05284_1342_1.jpg,132_Q05284_1342_2.jpg,132_Q05284_1342_3.jpg,Do you want to see list of the top Mother's day songs?,I would like to explore some meaningful songs related to Mothers' Day.,Q05283,132_Q05283_1341_1.jpg,132_Q05283_1341_2.jpg,132_Q05283_1341_3.jpg,do you want songs that were released on mothers day in a specific year,"Yes, I would like to know the lyrics of songs written for Mothers' Day that were released in a specific year.",Q01865,132_Q01865_3474_1.jpg,132_Q01865_3474_2.jpg,132_Q01865_3474_3.jpg
198,names of artists who have recorded songs about Mother's Day,F0133,132,mothers day songs,are you looking for any specific lyrics,"No, I'm not looking for specific lyrics.",Q00748,132_Q00748_1688_1.jpg,132_Q00748_1688_2.jpg,132_Q00748_1688_3.jpg,are you interested in remembrance songs,I'm looking for specific artists rather than broader themes.,Q00374,132_Q00374_602_1.jpg,132_Q00374_602_2.jpg,132_Q00374_602_3.jpg,are you looking for a particular artist,No. I need names of artists that have recorded songs about Mother's Day.,Q00652,132_Q00652_3677_1.jpg,132_Q00652_3677_2.jpg,132_Q00652_3677_3.jpg
199,names of artists who have recorded songs about Mother's Day,F0133,132,mothers day songs,are you referring to the movie,"No, I'm not talking about that.",Q01271,132_Q01271_1112_1.jpg,132_Q01271_1112_2.jpg,132_Q01271_1112_3.jpg,Are you interested in mothers day songs for kids?,I'm mainly interested in knowing who has made songs that are relevant to the occasion.,Q05282,132_Q05282_1340_1.jpg,132_Q05282_1340_2.jpg,132_Q05282_1340_3.jpg,are you looking for a playlist of mothers days songs,No. I'm just looking for artists who have recorded Mother's Day songs.,Q00657,132_Q00657_1828_1.jpg,132_Q00657_1828_2.jpg,132_Q00657_1828_3.jpg
200,"""Who said """"all men are created equal""""?""",F0134,133,all men are created equal,would you like to learn more about the declaration of independence,"No, I'm not particularly interested in that topic.",Q03763,133_Q03763_2863_1.jpg,133_Q03763_2863_2.jpg,133_Q03763_2863_3.jpg,would you like to know its interpretation by the us supreme court,I prefer not to delve into that topic right now.,Q03514,133_Q03514_3165_1.jpg,133_Q03514_3165_2.jpg,133_Q03514_3165_3.jpg,who are you interested in learning about who has that quote attributed to them,"I'm interested in learning about who said ""all men are created equal.""",Q03101,133_Q03101_3004_1.jpg,133_Q03101_3004_2.jpg,133_Q03101_3004_3.jpg
201,information about the drafting of the Declaration of Independence,F0135,133,all men are created equal,which use of that quote are you interested in,"No, I am not focused on that particular aspect right now.",Q03095,133_Q03095_763_1.jpg,133_Q03095_763_2.jpg,133_Q03095_763_3.jpg,are you trying to look up a speech,I'm interested in a historical document that has significant importance.,Q01384,133_Q01384_2376_1.jpg,133_Q01384_2376_2.jpg,133_Q01384_2376_3.jpg,would you like to learn more about the declaration of independence,"Yes, I would like to learn more about the drafting of the Declaration of Independence.",Q03763,133_Q03763_2863_1.jpg,133_Q03763_2863_2.jpg,133_Q03763_2863_3.jpg
202,image of the Declaration of Independence at the National Archives,F0136,133,all men are created equal,would you like to learn more about thomas jefferson,"No, I don't have a particular interest in that.",Q03764,133_Q03764_3859_1.jpg,133_Q03764_3859_2.jpg,133_Q03764_3859_3.jpg,would you like to know its interpretation by the us supreme court,"I have an interest in the document itself, but I'm not interested in its legal interpretations.",Q03514,133_Q03514_3165_1.jpg,133_Q03514_3165_2.jpg,133_Q03514_3165_3.jpg,are you trying to look up a speech,No.,Q01384,133_Q01384_2376_1.jpg,133_Q01384_2376_2.jpg,133_Q01384_2376_3.jpg
203,image of the Declaration of Independence at the National Archives,F0136,133,all men are created equal,would you like to learn about the author of that quote,"No, I am not interested in learning about the author.",Q03741,133_Q03741_1724_1.jpg,133_Q03741_1724_2.jpg,133_Q03741_1724_3.jpg,which use of that quote are you interested in,"I'm not entirely sure what you're asking, but I might have some thoughts on the topic.",Q03095,133_Q03095_763_1.jpg,133_Q03095_763_2.jpg,133_Q03095_763_3.jpg,Would you like to know about the Decleration of Independence?,I wanted to see an image of it at the National Archives.,Q04637,133_Q04637_695_1.jpg,133_Q04637_695_2.jpg,133_Q04637_695_3.jpg
204,image of the Declaration of Independence at the National Archives,F0136,133,all men are created equal,are you trying to look up a speech,"No, I'm not looking for a speech.",Q01384,133_Q01384_2376_1.jpg,133_Q01384_2376_2.jpg,133_Q01384_2376_3.jpg,who are you interested in learning about who has that quote attributed to them,I’m interested in seeing the document itself.,Q03101,133_Q03101_3004_1.jpg,133_Q03101_3004_2.jpg,133_Q03101_3004_3.jpg,would you like to learn more about the declaration of independence,"Yes, I would love to learn more about the image of the Declaration of Independence at the National Archives.",Q03763,133_Q03763_2863_1.jpg,133_Q03763_2863_2.jpg,133_Q03763_2863_3.jpg
205,"""How has the phrase """"all men are created equal"""" been interpreted over time by the US surpreme Court?""",F0137,133,all men are created equal,are you trying to look up the constitution,"No, I am not researching the Constitution at this time.",Q01385,133_Q01385_2018_1.jpg,133_Q01385_2018_2.jpg,133_Q01385_2018_3.jpg,Would you like to know about Thomas Jefferson?,I'm not interested in that topic right now.,Q04636,133_Q04636_694_1.jpg,133_Q04636_694_2.jpg,133_Q04636_694_3.jpg,would you like to know its interpretation by the us supreme court,"Yes, can you tell me that information please.",Q03514,133_Q03514_3165_1.jpg,133_Q03514_3165_2.jpg,133_Q03514_3165_3.jpg
206,"""How has the phrase """"all men are created equal"""" been interpreted over time by the US surpreme Court?""",F0137,133,all men are created equal,would you like to learn about the author of that quote,"No, that's not something I'm interested in at the moment.",Q03741,133_Q03741_1724_1.jpg,133_Q03741_1724_2.jpg,133_Q03741_1724_3.jpg,are you trying to look up the constitution,"I'm exploring some historical interpretations, but not necessarily the Constitution itself.",Q01385,133_Q01385_2018_1.jpg,133_Q01385_2018_2.jpg,133_Q01385_2018_3.jpg,would you like to know the gettysburg address,"no, I want to know how the phrase """"all men are created equal"" has been interpreted over time by the US surpreme Court",Q03598,133_Q03598_2402_1.jpg,133_Q03598_2402_2.jpg,133_Q03598_2402_3.jpg
207,"""How has the phrase """"all men are created equal"""" been interpreted over time by the US surpreme Court?""",F0137,133,all men are created equal,would you like to learn more about the declaration of independence,"No, I'm not interested in that topic right now.",Q03763,133_Q03763_2863_1.jpg,133_Q03763_2863_2.jpg,133_Q03763_2863_3.jpg,would you like to learn about the origin of that quote,I'm primarily interested in how the phrase has evolved in legal contexts.,Q03745,133_Q03745_1273_1.jpg,133_Q03745_1273_2.jpg,133_Q03745_1273_3.jpg,Do you want to know about equality in the United States?,"Well, I just want to know how the phrase all men are created equal has been interpreted by the US Supreme Court.",Q04638,133_Q04638_696_1.jpg,133_Q04638_696_2.jpg,133_Q04638_696_3.jpg
208,quotes about independence,F0138,133,all men are created equal,would you like to learn more about thomas jefferson,"No, I'm not currently interested in that topic.",Q03764,133_Q03764_3859_1.jpg,133_Q03764_3859_2.jpg,133_Q03764_3859_3.jpg,Do you want to know about equality in the United States?,"I'm not currently interested in that topic, but I have thoughts on related matters.",Q04638,133_Q04638_696_1.jpg,133_Q04638_696_2.jpg,133_Q04638_696_3.jpg,would you like to learn about the author of that quote,"Sure, I’d like to learn about the author of those quotes about independence.",Q03741,133_Q03741_1724_1.jpg,133_Q03741_1724_2.jpg,133_Q03741_1724_3.jpg
209,quotes about independence,F0138,133,all men are created equal,are you trying to look up a speech,"No, I'm focused on finding quotes about independence.",Q01384,133_Q01384_2376_1.jpg,133_Q01384_2376_2.jpg,133_Q01384_2376_3.jpg,what else do you want to learn about the quote,"I am mainly interested in quotes related to independence, but I'm not looking for anything specific beyond that.",Q02769,133_Q02769_2487_1.jpg,133_Q02769_2487_2.jpg,133_Q02769_2487_3.jpg,which use of that quote are you interested in,I'm interested in finding quotes about independence.,Q03095,133_Q03095_763_1.jpg,133_Q03095_763_2.jpg,133_Q03095_763_3.jpg
210,quotes about independence,F0138,133,all men are created equal,would you like to learn more about thomas jefferson,"No, I'm not interested in exploring that topic right now.",Q03764,133_Q03764_3859_1.jpg,133_Q03764_3859_2.jpg,133_Q03764_3859_3.jpg,Would you like to know about Thomas Jefferson?,I'm primarily interested in some well-known quotes related to independence.,Q04636,133_Q04636_694_1.jpg,133_Q04636_694_2.jpg,133_Q04636_694_3.jpg,which use of that quote are you interested in,I'm interested in finding quotes about independence.,Q03095,133_Q03095_763_1.jpg,133_Q03095_763_2.jpg,133_Q03095_763_3.jpg
211,quotes about independence,F0138,133,all men are created equal,are you trying to look up a speech,"No, I am focusing on searching for quotes about independence.",Q01384,133_Q01384_2376_1.jpg,133_Q01384_2376_2.jpg,133_Q01384_2376_3.jpg,would you like to know the gettysburg address,"I appreciate the content of the Gettysburg Address, but I'm particularly interested in finding specific themes related to independence.",Q03598,133_Q03598_2402_1.jpg,133_Q03598_2402_2.jpg,133_Q03598_2402_3.jpg,Would you like to know about the Decleration of Independence?,"Yes, I'd love to hear some quotes about independence.",Q04637,133_Q04637_695_1.jpg,133_Q04637_695_2.jpg,133_Q04637_695_3.jpg
212,What different types of electronic skeet shooting games are available?,F0139,134,electronic skeet shoot,are you interested to see images of it,"No, I'm not interested in that right now.",Q00577,134_Q00577_1557_1.jpg,134_Q00577_1557_2.jpg,134_Q00577_1557_3.jpg,Would you like to see electronic skeet shoot equipment?,I'm interested in exploring the various options available in electronic skeet shooting games.,Q04865,134_Q04865_923_1.jpg,134_Q04865_923_2.jpg,134_Q04865_923_3.jpg,"Are you referring to skeet shoot by arcadia, tiger electronics, or some other manufacturer?","Yes, I’m interested in knowing what different types of electronic skeet shooting games are available, including those made by Arcadia, Tiger Electronics, or others.",Q04861,134_Q04861_919_1.jpg,134_Q04861_919_2.jpg,134_Q04861_919_3.jpg
213,What different types of electronic skeet shooting games are available?,F0139,134,electronic skeet shoot,do you want to know what electronic skeet shoot is,"No, I'm not interested in that.",Q02279,134_Q02279_950_1.jpg,134_Q02279_950_2.jpg,134_Q02279_950_3.jpg,"Are you referring to the laser shooting game, the virtual shooting game, or the pocket size handheld game?",I'm interested in exploring different types of virtual skeet games available.,Q04860,134_Q04860_918_1.jpg,134_Q04860_918_2.jpg,134_Q04860_918_3.jpg,"Are you referring to skeet shoot by arcadia, tiger electronics, or some other manufacturer?","I'm interested in knowing what different types of electronic skeet shooting games are available, including those by Arcadia and Tiger Electronics.",Q04861,134_Q04861_919_1.jpg,134_Q04861_919_2.jpg,134_Q04861_919_3.jpg
214,What different types of electronic skeet shooting games are available?,F0139,134,electronic skeet shoot,Do you want the instructions on how play skeet shoot?,"No, I am not interested in the instructions at the moment.",Q04862,134_Q04862_920_1.jpg,134_Q04862_920_2.jpg,134_Q04862_920_3.jpg,what would you like to know about electronic skeet shoot,I'm curious about the various options available in electronic skeet shooting games.,Q02944,134_Q02944_2896_1.jpg,134_Q02944_2896_2.jpg,134_Q02944_2896_3.jpg,"Are you referring to skeet shoot by arcadia, tiger electronics, or some other manufacturer?","I'm interested in learning about the different types of electronic skeet shooting games that are available, including those from Arcadia, Tiger Electronics, and other manufacturers.",Q04861,134_Q04861_919_1.jpg,134_Q04861_919_2.jpg,134_Q04861_919_3.jpg
215,What different types of electronic skeet shooting games are available?,F0139,134,electronic skeet shoot,do you want to know how to use it,"No, I don’t have any interest in that.",Q02105,134_Q02105_1747_1.jpg,134_Q02105_1747_2.jpg,134_Q02105_1747_3.jpg,are you looking for product recalls,"I'm interested in exploring different options, but I'm not focused on product recalls at this time.",Q00978,134_Q00978_2348_1.jpg,134_Q00978_2348_2.jpg,134_Q00978_2348_3.jpg,what specific type of electronic skeet shoot are you interested in,I need to know what skeet shooting games are available,Q02883,134_Q02883_3159_1.jpg,134_Q02883_3159_2.jpg,134_Q02883_3159_3.jpg
216,What different types of electronic skeet shooting games are available?,F0139,134,electronic skeet shoot,are you interested to see images of it,"No, I'm not particularly interested in that right now.",Q00577,134_Q00577_1557_1.jpg,134_Q00577_1557_2.jpg,134_Q00577_1557_3.jpg,Would you like to see electronic skeet shoot equipment?,I'm curious about the various options that exist in this category.,Q04865,134_Q04865_923_1.jpg,134_Q04865_923_2.jpg,134_Q04865_923_3.jpg,"Are you referring to skeet shoot by arcadia, tiger electronics, or some other manufacturer?","I'm interested in learning about the different types of electronic skeet shooting games available, including those by Arcadia, Tiger Electronics, and other manufacturers.",Q04861,134_Q04861_919_1.jpg,134_Q04861_919_2.jpg,134_Q04861_919_3.jpg
217,product reviews for electronic skeet shooting games,F0140,134,electronic skeet shoot,are you wanting to know what it is,"No, I am not interested in that.",Q01417,134_Q01417_1359_1.jpg,134_Q01417_1359_2.jpg,134_Q01417_1359_3.jpg,would you like to see the retailers selling it,"I have an interest in reviews for electronic games, particularly in a specific niche.",Q03902,134_Q03902_755_1.jpg,134_Q03902_755_2.jpg,134_Q03902_755_3.jpg,Do you want to see electronic skeet shoot gameplay?,I'm interested in seeing gameplay to help me read some product reviews for electronic skeet shooting games.,Q04863,134_Q04863_921_1.jpg,134_Q04863_921_2.jpg,134_Q04863_921_3.jpg
218,product reviews for electronic skeet shooting games,F0140,134,electronic skeet shoot,do you want to know how to use it,"No, I am not interested in learning about its usage.",Q02105,134_Q02105_1747_1.jpg,134_Q02105_1747_2.jpg,134_Q02105_1747_3.jpg,would you like the instructions for electronic skeet shoot,I'm interested in exploring various options available for electronic skeet shooting.,Q03276,134_Q03276_663_1.jpg,134_Q03276_663_2.jpg,134_Q03276_663_3.jpg,Do you want to see electronic skeet shoot gameplay?,"Yes, I am interested in seeing electronic skeet shooting game gameplay to help me read product reviews for electronic skeet shooting games.",Q04863,134_Q04863_921_1.jpg,134_Q04863_921_2.jpg,134_Q04863_921_3.jpg
219,retailers selling electronic skeet shooting games with price information,F0141,134,electronic skeet shoot,do you want to know how to use it,"No, I am focused on finding retailers selling electronic skeet shooting games with price information.",Q02105,134_Q02105_1747_1.jpg,134_Q02105_1747_2.jpg,134_Q02105_1747_3.jpg,Do you want to see electronic skeet shoot gameplay?,I'm not really interested in watching gameplay at the moment; my focus is more on finding the right options for purchase.,Q04863,134_Q04863_921_1.jpg,134_Q04863_921_2.jpg,134_Q04863_921_3.jpg,Would you like to see electronic skeet shoot equipment?,"Yes, I would like to see retailers selling electronic skeet shooting games along with their price information.",Q04865,134_Q04865_923_1.jpg,134_Q04865_923_2.jpg,134_Q04865_923_3.jpg
220,information about product recalls for electronic skeet shooting games,F0142,134,electronic skeet shoot,are you wanting to know what it is,"No, I am not interested in that information.",Q01417,134_Q01417_1359_1.jpg,134_Q01417_1359_2.jpg,134_Q01417_1359_3.jpg,Are you interested in electronic skeet shoot products?,I don’t have a current interest in that type of product.,Q04864,134_Q04864_922_1.jpg,134_Q04864_922_2.jpg,134_Q04864_922_3.jpg,would you like find out where you can play electronic skeet shoot,No. I would like to know information about product recalls for electronic skeet shooting games.,Q03209,134_Q03209_3412_1.jpg,134_Q03209_3412_2.jpg,134_Q03209_3412_3.jpg
221,information about product recalls for electronic skeet shooting games,F0142,134,electronic skeet shoot,Are you interested in electronic skeet shoot products?,"No, I am not currently considering any electronic skeet shooting products.",Q04864,134_Q04864_922_1.jpg,134_Q04864_922_2.jpg,134_Q04864_922_3.jpg,are you interested to see images of it,"I'm not looking for images right now, but I’m definitely interested in learning more about the product itself.",Q00577,134_Q00577_1557_1.jpg,134_Q00577_1557_2.jpg,134_Q00577_1557_3.jpg,what specific type of electronic skeet shoot are you interested in,I'm interested in information about product recalls for electronic skeet shooting games.,Q02883,134_Q02883_3159_1.jpg,134_Q02883_3159_2.jpg,134_Q02883_3159_3.jpg
222,information about product recalls for electronic skeet shooting games,F0142,134,electronic skeet shoot,are you wanting to know what it is,"No, I'm not interested in that information.",Q01417,134_Q01417_1359_1.jpg,134_Q01417_1359_2.jpg,134_Q01417_1359_3.jpg,do you want to know what electronic skeet shoot is,"I'm not interested in that aspect at the moment, but I do have some specific concerns.",Q02279,134_Q02279_950_1.jpg,134_Q02279_950_2.jpg,134_Q02279_950_3.jpg,would you like to see the retailers selling it,No I don't need to know about where to buy it. I want to know what product recalls there are for the skeet shooting games.,Q03902,134_Q03902_755_1.jpg,134_Q03902_755_2.jpg,134_Q03902_755_3.jpg
223,"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,do you want a map,"No, I'm not in need of a map at the moment.",Q01772,135_Q01772_3678_1.jpg,135_Q01772_3678_2.jpg,135_Q01772_3678_3.jpg,do you want to know where the nile is located,I am primarily interested in understanding the gameplay mechanics.,Q02328,135_Q02328_1013_1.jpg,135_Q02328_1013_2.jpg,135_Q02328_1013_3.jpg,is there any specific information about the river that would interest you,I'm actually looking for information about how to play the board game source of the Nile.,Q02612,135_Q02612_3904_1.jpg,135_Q02612_3904_2.jpg,135_Q02612_3904_3.jpg
224,"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,do you want a map,"No, I prefer to navigate without a map.",Q01772,135_Q01772_3678_1.jpg,135_Q01772_3678_2.jpg,135_Q01772_3678_3.jpg,do you want to know where the nile is located,I have specific interests in the game itself but I'm not focused on external geographic aspects right now.,Q02328,135_Q02328_1013_1.jpg,135_Q02328_1013_2.jpg,135_Q02328_1013_3.jpg,Would you be interested in seeing the Nile River at sunset?,No thanks. I'm just curious about how to play the board game Source of the Nile.,Q05204,135_Q05204_1262_1.jpg,135_Q05204_1262_2.jpg,135_Q05204_1262_3.jpg
225,"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,Do you want to see a map?,"No, I'm not interested in that right now.",Q05205,135_Q05205_1263_1.jpg,135_Q05205_1263_2.jpg,135_Q05205_1263_3.jpg,Would you be interested in seeing the Nile River at sunset?,I'm primarily interested in the gameplay and rules of the board game rather than other topics.,Q05204,135_Q05204_1262_1.jpg,135_Q05204_1262_2.jpg,135_Q05204_1262_3.jpg,do you want to know the name of the source,"No. I want to know more about the board game ""Source of the Nile"".",Q02228,135_Q02228_3655_1.jpg,135_Q02228_3655_2.jpg,135_Q02228_3655_3.jpg
226,"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,would you like to know what the nile is composed of,"No, I'm not interested in that topic.",Q03673,135_Q03673_2280_1.jpg,135_Q03673_2280_2.jpg,135_Q03673_2280_3.jpg,Are you interested in images of the NIle River?,"I’m currently not focused on images, but I do have an interest in aspects related to the game.",Q05203,135_Q05203_1261_1.jpg,135_Q05203_1261_2.jpg,135_Q05203_1261_3.jpg,is there any specific information about the river that would interest you,I'm actually looking for information about how to play the board game source of the Nile.,Q02612,135_Q02612_3904_1.jpg,135_Q02612_3904_2.jpg,135_Q02612_3904_3.jpg
227,"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,would you like to know what the nile is composed of,"No, I'm not interested in that topic.",Q03673,135_Q03673_2280_1.jpg,135_Q03673_2280_2.jpg,135_Q03673_2280_3.jpg,Do you want to see waterfalls?,I’m mainly interested in information about the game itself rather than anything else like scenery.,Q05207,135_Q05207_1265_1.jpg,135_Q05207_1265_2.jpg,135_Q05207_1265_3.jpg,is there any specific information about the river that would interest you,I'm actually looking for information about how to play the board game source of the Nile.,Q02612,135_Q02612_3904_1.jpg,135_Q02612_3904_2.jpg,135_Q02612_3904_3.jpg
228,What are the registration requirements for enrolling at American Military University?,F0146,136,american military university,do you want to know more about the the curriculum,"No, I'm not interested in learning more about the curriculum at this time.",Q02165,136_Q02165_1563_1.jpg,136_Q02165_1563_2.jpg,136_Q02165_1563_3.jpg,are you wanting to know its location,"I'm interested in the enrollment details, but there are other factors I'm considering as well.",Q01411,136_Q01411_1425_1.jpg,136_Q01411_1425_2.jpg,136_Q01411_1425_3.jpg,were you interested in applying to the american military university or just recieving an informational brochure,I'm not sure yet but I just want to know the registration requirements so I can know if I qualify or not.,Q02689,136_Q02689_1817_1.jpg,136_Q02689_1817_2.jpg,136_Q02689_1817_3.jpg
229,What are the registration requirements for enrolling at American Military University?,F0146,136,american military university,Do you want to see graduation photos for the American Military University?,"No, I'm not interested in that at the moment.",Q04762,136_Q04762_820_1.jpg,136_Q04762_820_2.jpg,136_Q04762_820_3.jpg,what degree in particular would you like to know more about from the american military unviersity,I'm primarily interested in understanding the registration process.,Q02760,136_Q02760_1615_1.jpg,136_Q02760_1615_2.jpg,136_Q02760_1615_3.jpg,Do you want pictures of an american military university?,no requirements,Q04764,136_Q04764_822_1.jpg,136_Q04764_822_2.jpg,136_Q04764_822_3.jpg
230,reviews and commentary on the quality of education received by students at American Military University,F0147,136,american military university,do you want to know more about the the curriculum,"No, I'm not currently interested in exploring more about the curriculum.",Q02165,136_Q02165_1563_1.jpg,136_Q02165_1563_2.jpg,136_Q02165_1563_3.jpg,Do you want to also see other Military Universities?,I am primarily interested in the quality of education at a specific institution.,Q04763,136_Q04763_821_1.jpg,136_Q04763_821_2.jpg,136_Q04763_821_3.jpg,were you interested in applying to the american military university or just recieving an informational brochure,I just want reviews about the education quality there from students.,Q02689,136_Q02689_1817_1.jpg,136_Q02689_1817_2.jpg,136_Q02689_1817_3.jpg
231,reviews and commentary on the quality of education received by students at American Military University,F0147,136,american military university,were you interested in applying to the american military university or just recieving an informational brochure,"No, I am more focused on gathering reviews about the educational quality.",Q02689,136_Q02689_1817_1.jpg,136_Q02689_1817_2.jpg,136_Q02689_1817_3.jpg,Do you want to also see other Military Universities?,I'm not really interested in exploring options beyond what I currently have in mind.,Q04763,136_Q04763_821_1.jpg,136_Q04763_821_2.jpg,136_Q04763_821_3.jpg,do you want to know more about the the curriculum,"Yes, I'm interested in reviews and commentary on the quality of education received by students at American Military University, as it can provide insights about the curriculum.",Q02165,136_Q02165_1563_1.jpg,136_Q02165_1563_2.jpg,136_Q02165_1563_3.jpg
232,reviews and commentary on the quality of education received by students at American Military University,F0147,136,american military university,are you talking about the navel academy,"No, I am discussing the educational experiences at American Military University.",Q01338,136_Q01338_124_1.jpg,136_Q01338_124_2.jpg,136_Q01338_124_3.jpg,Are you wanting to see the American Military University grounds?,I find the pictures displayed to be quite intriguing and they offer some insight into the university's environment.,Q04761,136_Q04761_819_1.jpg,136_Q04761_819_2.jpg,136_Q04761_819_3.jpg,Do you want pictures of an american military university?,No. I would like reviews and commentary on the quality of education received by students at American Military University.,Q04764,136_Q04764_822_1.jpg,136_Q04764_822_2.jpg,136_Q04764_822_3.jpg
233,reviews and commentary on the quality of education received by students at American Military University,F0147,136,american military university,are you referring to the american military university as in the actual school,"No, I am not discussing that particular institution.",Q01250,136_Q01250_2470_1.jpg,136_Q01250_2470_2.jpg,136_Q01250_2470_3.jpg,are you talking about the navel academy,"I'm discussing the education experiences offered at a certain institution, but it's not specifically about the Naval Academy.",Q01338,136_Q01338_124_1.jpg,136_Q01338_124_2.jpg,136_Q01338_124_3.jpg,do you want to know more about the the curriculum,"Yes, I would like to know more about the reviews and commentary on the quality of education received by students at American Military University.",Q02165,136_Q02165_1563_1.jpg,136_Q02165_1563_2.jpg,136_Q02165_1563_3.jpg
234,reviews and commentary on the quality of education received by students at American Military University,F0147,136,american military university,Do you want to also see other Military Universities?,"No, I am focused on my current studies at American Military University.",Q04763,136_Q04763_821_1.jpg,136_Q04763_821_2.jpg,136_Q04763_821_3.jpg,are you talking about the navel academy,I'm interested in discussing the experiences of students regarding their educational journey at specific institutions.,Q01338,136_Q01338_124_1.jpg,136_Q01338_124_2.jpg,136_Q01338_124_3.jpg,Are you wanting to see the American Military University grounds?,"no, but the pictures displayed are interesting",Q04761,136_Q04761_819_1.jpg,136_Q04761_819_2.jpg,136_Q04761_819_3.jpg
235,Looking for locations and dates of rock and gem shows.,F0149,137,rock and gem shows,Would you like to see rocks and gems?,"No, I am not interested in attending any shows at this time.",Q05546,137_Q05546_1604_1.jpg,137_Q05546_1604_2.jpg,137_Q05546_1604_3.jpg,Would you like to see different types of rocks?,"I'm not really interested in that right now, but I do have some other preferences related to shows.",Q05551,137_Q05551_1609_1.jpg,137_Q05551_1609_2.jpg,137_Q05551_1609_3.jpg,do you want to see the nearest rock and gem shows,yes I want to find locations and dates of rock and gem shows.,Q02445,137_Q02445_1805_1.jpg,137_Q02445_1805_2.jpg,137_Q02445_1805_3.jpg
236,rock and gem shows that offer lapidary classes,F0150,137,rock and gem shows,what kind of information do you need about rock and gem shows,"No, I am not looking for information on that.",Q02824,137_Q02824_1540_1.jpg,137_Q02824_1540_2.jpg,137_Q02824_1540_3.jpg,would you like to learn about rock and gem shows in california,"Yes, but my interest lies in those that offer specific classes.",Q03738,137_Q03738_2258_1.jpg,137_Q03738_2258_2.jpg,137_Q03738_2258_3.jpg,would you like a list of rock and gem shows in 2019,I'm actually interested in finding rock and gem shows in 2019 that offer lapidary classes.,Q03171,137_Q03171_1308_1.jpg,137_Q03171_1308_2.jpg,137_Q03171_1308_3.jpg
237,rock and gem shows that offer lapidary classes,F0150,137,rock and gem shows,what local rock and gem shows are you looking for from this list,"No, I am not looking for any local rock and gem shows.",Q02843,137_Q02843_417_1.jpg,137_Q02843_417_2.jpg,137_Q02843_417_3.jpg,Would you like to see rocks and gems?,I'm interested in finding events that include some specific activities related to rocks and gems.,Q05546,137_Q05546_1604_1.jpg,137_Q05546_1604_2.jpg,137_Q05546_1604_3.jpg,would you like a list of rock and gem shows in 2019,I'm interested in finding rock and gem shows in 2019 that offer lapidary classes.,Q03171,137_Q03171_1308_1.jpg,137_Q03171_1308_2.jpg,137_Q03171_1308_3.jpg
