id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3,question4,answer4,id_4,image4_1,image4_2,image4_3
253,"What medical care is available in Porterville, CA?",F0235,159,porterville,Are you looking for things to do in Porterville?,"No, that’s not what I am focusing on right now.  ",Q05528,159_Q05528_1586_1.jpg,159_Q05528_1586_2.jpg,159_Q05528_1586_3.jpg,Are you looking for places to stay in Porterville?,"No, I’m not interested in that at the moment.",Q05530,159_Q05530_1588_1.jpg,159_Q05530_1588_2.jpg,159_Q05530_1588_3.jpg,are you looking for a contact number for the city government,I'm interested in exploring healthcare options in this area.,Q00606,159_Q00606_1063_1.jpg,159_Q00606_1063_2.jpg,159_Q00606_1063_3.jpg,Are you interested in the history of Porterville?,"No. I would like to see what medical care is available in Portersville, CA.",Q05529,159_Q05529_1587_1.jpg,159_Q05529_1587_2.jpg,159_Q05529_1587_3.jpg
254,"What medical care is available in Porterville, CA?",F0235,159,porterville,Would you like to see Porterville churches?,"No, I am not interested in that.  ",Q05533,159_Q05533_1591_1.jpg,159_Q05533_1591_2.jpg,159_Q05533_1591_3.jpg,Are you looking for things to do in Porterville?,"No, I don't have any plans for that.",Q05528,159_Q05528_1586_1.jpg,159_Q05528_1586_2.jpg,159_Q05528_1586_3.jpg,are you interested in schools in poterville,I'm more focused on exploring options related to my primary interest.,Q00379,159_Q00379_1833_1.jpg,159_Q00379_1833_2.jpg,159_Q00379_1833_3.jpg,"Do you want to see Porterville, California?","No, I need to know what kind of medical care you can get there.",Q05531,159_Q05531_1589_1.jpg,159_Q05531_1589_2.jpg,159_Q05531_1589_3.jpg
255,Find information about the Panthers sports teams at Porterville High School in California.,F0236,159,porterville,are you looking for a hotel near porterville,"No, that's not something I'm focused on right now.  ",Q00630,159_Q00630_1853_1.jpg,159_Q00630_1853_2.jpg,159_Q00630_1853_3.jpg,do you need information about medical services,"No, that's not within my current interests.",Q01643,159_Q01643_1383_1.jpg,159_Q01643_1383_2.jpg,159_Q01643_1383_3.jpg,Are you looking for places to stay in Porterville?,"I'm interested in gathering information about local sports teams, but my focus isn't specifically on accommodations.",Q05530,159_Q05530_1588_1.jpg,159_Q05530_1588_2.jpg,159_Q05530_1588_3.jpg,are you looking for any specific venues in porterville,unsure how to answer,Q00752,159_Q00752_3827_1.jpg,159_Q00752_3827_2.jpg,159_Q00752_3827_3.jpg
256,Take me to the Arizona Game and Fish Department homepage.,F0238,16,arizona game and fish,are you looking for hunting guides,I'm not interested in guides at the moment.  ,Q00868,16_Q00868_3582_1.jpg,16_Q00868_3582_2.jpg,16_Q00868_3582_3.jpg,Do you want to see caught fish?,"No, I have no desire to see that right now.",Q05101,16_Q05101_1159_1.jpg,16_Q05101_1159_2.jpg,16_Q05101_1159_3.jpg,do you want to get a hunting or fishing license in arizona,I am more focused on exploring options related to wildlife activities in Arizona.,Q01947,16_Q01947_1204_1.jpg,16_Q01947_1204_2.jpg,16_Q01947_1204_3.jpg,do you want information on arizona wildlife,"no, the homepage",Q01823,16_Q01823_2629_1.jpg,16_Q01823_2629_2.jpg,16_Q01823_2629_3.jpg
257,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,are you looking for hunting guides,"No, I'm not interested in that.  ",Q00868,16_Q00868_3582_1.jpg,16_Q00868_3582_2.jpg,16_Q00868_3582_3.jpg,would you like to see information on fishing in arizona,"No, that's not what I'm looking for.",Q03854,16_Q03854_3451_1.jpg,16_Q03854_3451_2.jpg,16_Q03854_3451_3.jpg,Do you want to see a map?,"I'm not interested in maps at this moment, but I do want to gather information on the relevant regulations.",Q05102,16_Q05102_1160_1.jpg,16_Q05102_1160_2.jpg,16_Q05102_1160_3.jpg,do you want information about the arizona game and fish department,"Yes, I would like to know more about the regulations for hunting and fishing in Arizona.",Q01818,16_Q01818_123_1.jpg,16_Q01818_123_2.jpg,16_Q01818_123_3.jpg
258,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,do you want information on arizona wildlife,"No, that's not something I'm currently interested in.  ",Q01823,16_Q01823_2629_1.jpg,16_Q01823_2629_2.jpg,16_Q01823_2629_3.jpg,Are you looking for pictures of the Arizona Game and Fish Warden and officers?,"No, that's not what I'm focusing on right now.",Q05099,16_Q05099_1157_1.jpg,16_Q05099_1157_2.jpg,16_Q05099_1157_3.jpg,do you need to find hunting and fishing grounds in arizona,I'm interested in understanding the rules surrounding outdoor activities in that area.,Q01710,16_Q01710_1773_1.jpg,16_Q01710_1773_2.jpg,16_Q01710_1773_3.jpg,would you like to see arizona hunting trip information,"Sure, I would like to see Arizona hunting trip information, especially focusing on the regulations for hunting and fishing in Arizona.",Q03834,16_Q03834_715_1.jpg,16_Q03834_715_2.jpg,16_Q03834_715_3.jpg
259,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,Do you want to see a map?,"No, that's not what I need at the moment.  ",Q05102,16_Q05102_1160_1.jpg,16_Q05102_1160_2.jpg,16_Q05102_1160_3.jpg,Do you want to see caught fish?,"No, that's not of interest to me.",Q05101,16_Q05101_1159_1.jpg,16_Q05101_1159_2.jpg,16_Q05101_1159_3.jpg,would you like information on arizona wildlife,"I'm not interested in that specific topic at the moment, but I appreciate the offer.",Q03227,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg,do you want information about the arizona game and fish department,"Yes, I would like to know about the regulations for hunting and fishing in Arizona.",Q01818,16_Q01818_123_1.jpg,16_Q01818_123_2.jpg,16_Q01818_123_3.jpg
260,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,do you need maps for arizona hunting and fishing,"No, I don't require maps for that activity.  ",Q01667,16_Q01667_2367_1.jpg,16_Q01667_2367_2.jpg,16_Q01667_2367_3.jpg,would you like to see arizona hunting trip information,"No, I am not interested in that information.",Q03834,16_Q03834_715_1.jpg,16_Q03834_715_2.jpg,16_Q03834_715_3.jpg,Would you like to see the wildlife that Arizona Game and Fish oversee?,I'm mainly interested in understanding the regulations that govern outdoor activities in the state.,Q05098,16_Q05098_1156_1.jpg,16_Q05098_1156_2.jpg,16_Q05098_1156_3.jpg,would you like information on arizona wildlife,"Sure, I would like information on hunting and fishing regulations in Arizona.",Q03227,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg
261,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,would you like the arizona state fish and game comissions contact information,"No, I am not interested in that.  ",Q03263,16_Q03263_1707_1.jpg,16_Q03263_1707_2.jpg,16_Q03263_1707_3.jpg,do you want information on arizona wildlife,"No, that's not something I need.",Q01823,16_Q01823_2629_1.jpg,16_Q01823_2629_2.jpg,16_Q01823_2629_3.jpg,would you like the location of the arizona fish and game comission,"I'm not interested in that specific information at this moment, but I appreciate the offer.",Q03280,16_Q03280_3274_1.jpg,16_Q03280_3274_2.jpg,16_Q03280_3274_3.jpg,do you want to get a hunting or fishing license in arizona,"Yes, I want to know what the regulations are for hunting and fishing in Arizona before getting a license.",Q01947,16_Q01947_1204_1.jpg,16_Q01947_1204_2.jpg,16_Q01947_1204_3.jpg
262,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,are you looking for hunting guides,"No, I'm interested in understanding the rules instead.  ",Q00868,16_Q00868_3582_1.jpg,16_Q00868_3582_2.jpg,16_Q00868_3582_3.jpg,Would you like to see the wildlife that Arizona Game and Fish oversee?,"No, that's not what I'm seeking at the moment.",Q05098,16_Q05098_1156_1.jpg,16_Q05098_1156_2.jpg,16_Q05098_1156_3.jpg,do you need to find hunting and fishing grounds in arizona,I'm interested in understanding more about the specific regulations related to hunting and fishing activities in that region.,Q01710,16_Q01710_1773_1.jpg,16_Q01710_1773_2.jpg,16_Q01710_1773_3.jpg,would you like information on arizona wildlife,"Yes, I would like to know the regulations for hunting and fishing in Arizona.",Q03227,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg
263,What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,Do you want to see the logo?,"No, I am not interested.  ",Q05100,16_Q05100_1158_1.jpg,16_Q05100_1158_2.jpg,16_Q05100_1158_3.jpg,do you need to find hunting and fishing grounds in arizona,"No, I am not looking for that information.",Q01710,16_Q01710_1773_1.jpg,16_Q01710_1773_2.jpg,16_Q01710_1773_3.jpg,Are you looking for pictures of the Arizona Game and Fish Warden and officers?,"I’m not interested in that at the moment, but I am exploring information related to regulations.",Q05099,16_Q05099_1157_1.jpg,16_Q05099_1157_2.jpg,16_Q05099_1157_3.jpg,would you like information on arizona wildlife,I would like to know the regulations for hunting and fishing in Arizona.,Q03227,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg
264,I'd like to find guides and outfitters for hunting trips in Arizona.,F0241,16,arizona game and fish,are you looking for regulations related to your search,That's not what I'm looking for right now.  ,Q00986,16_Q00986_117_1.jpg,16_Q00986_117_2.jpg,16_Q00986_117_3.jpg,Do you want to see the Arizona Game and Fish logo?,I'm not interested in that.,Q05097,16_Q05097_1155_1.jpg,16_Q05097_1155_2.jpg,16_Q05097_1155_3.jpg,Do you want to see caught fish?,I'm mainly interested in finding information related to outdoor activities in Arizona.,Q05101,16_Q05101_1159_1.jpg,16_Q05101_1159_2.jpg,16_Q05101_1159_3.jpg,do you want to get a hunting or fishing license in arizona,No. For right now I need guides and outfitters for hunting trips in Arizona.,Q01947,16_Q01947_1204_1.jpg,16_Q01947_1204_2.jpg,16_Q01947_1204_3.jpg
265,Find kabob recipes.,F0242,160,grilling,are you interested in grilling equipment,"No, that's not what I need right now.  ",Q00218,160_Q00218_1794_1.jpg,160_Q00218_1794_2.jpg,160_Q00218_1794_3.jpg,do you want to see cookbooks for grilling,"No, I'm not looking for those.",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,are you looking for the magazine the grilling,I am interested in a specific type of recipe that includes kabobs.,Q01080,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,do you want to know about grilling meat,I'm more interested in finding kabob recipes right now.,Q01979,160_Q01979_2885_1.jpg,160_Q01979_2885_2.jpg,160_Q01979_2885_3.jpg
266,Find kabob recipes.,F0242,160,grilling,Do you want to find out which grilling fuel is right for you?,"No, I'm not interested in exploring that option.  ",Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,are you looking for a grill for grilling food,"No, I'm focusing on something else right now.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,do you want to see cookbooks for grilling,I have some specific preferences in mind that don't include cookbooks.,Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,are you interested in grilling a specefic food,"Yes, I am interested in grilling; I'm specifically looking to find kabob recipes.",Q00217,160_Q00217_2682_1.jpg,160_Q00217_2682_2.jpg,160_Q00217_2682_3.jpg
267,Find kabob recipes.,F0242,160,grilling,do you want to know more about the grilling process,"No, I’m not interested in that.  ",Q02162,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg,Do you want to compare the different companies that make grilling equipment?,"No, that's not something I need right now.",Q05042,160_Q05042_1100_1.jpg,160_Q05042_1100_2.jpg,160_Q05042_1100_3.jpg,are you looking for a grill for grilling food,"I'm interested in recipes for grilling, particularly kabobs.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,do you want to see cookbooks for grilling,"Not exactly, I am more interested in finding kabob recipes.",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg
268,Find kabob recipes.,F0242,160,grilling,Do you want to find out which grilling fuel is right for you?,"No, that's not something I'm focusing on right now.  ",Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,are you interested in grilling equipment,"No, I'm not considering that at this moment.",Q00218,160_Q00218_1794_1.jpg,160_Q00218_1794_2.jpg,160_Q00218_1794_3.jpg,do you want to know more about the grilling process,I'm primarily interested in exploring different kabob recipes rather than the specific grilling techniques.,Q02162,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg,do you want to know about indoor or outdoor grilling,Either one but I need to know recipes for kabobs.,Q01981,160_Q01981_1235_1.jpg,160_Q01981_1235_2.jpg,160_Q01981_1235_3.jpg
269,Find tips on grilling vegetables.,F0243,160,grilling,are you looking for the magazine the grilling,"No, that's not something I'm focusing on right now.  ",Q01080,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,do you need to know where you can purchase a grill,"No, that's not relevant to my current needs.",Q01731,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,are you interested in kabob recipes,"I have some preferences for cooking techniques, but I'm not looking for specific recipes right now.",Q00258,160_Q00258_3668_1.jpg,160_Q00258_3668_2.jpg,160_Q00258_3668_3.jpg,What type of food are you hoping to try grilling?,vegetables,Q05044,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg
270,Find tips on grilling vegetables.,F0243,160,grilling,Do you want to see different grills?,"No, I'm focused on cooking tips instead.  ",Q05039,160_Q05039_1097_1.jpg,160_Q05039_1097_2.jpg,160_Q05039_1097_3.jpg,are you looking for the magazine the grilling,"No, I'm not interested in that right now.",Q01080,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,do you need to know where you can purchase a grill,I'm mainly interested in getting some advice on how to grill vegetables effectively.,Q01731,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,are you interested in grilling a specefic food,Yes. I would like to find tips on grilling vegetables.,Q00217,160_Q00217_2682_1.jpg,160_Q00217_2682_2.jpg,160_Q00217_2682_3.jpg
271,Find tips on grilling fish.,F0244,160,grilling,do you need to know how to trun a grill on,"No, I don't have that information.  ",Q01719,160_Q01719_478_1.jpg,160_Q01719_478_2.jpg,160_Q01719_478_3.jpg,are you looking for the magazine the grilling,"No, I'm not interested in that.",Q01080,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,are you looking for gas grill instruction,I'm interested in details related to grilling fish specifically.,Q00844,160_Q00844_2841_1.jpg,160_Q00844_2841_2.jpg,160_Q00844_2841_3.jpg,do you want to know about indoor or outdoor grilling,"I'm interested in finding tips on grilling fish, whether it's for indoor or outdoor grilling.",Q01981,160_Q01981_1235_1.jpg,160_Q01981_1235_2.jpg,160_Q01981_1235_3.jpg
272,Find tips on grilling fish.,F0244,160,grilling,do you want to know about grilling meat,"No, that’s not what I’m looking for.  ",Q01979,160_Q01979_2885_1.jpg,160_Q01979_2885_2.jpg,160_Q01979_2885_3.jpg,Do you want to see recipes?,"No, I’m not interested in those.",Q05040,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,do you need to know where you can purchase a grill,"I’m interested in tips and techniques related to grilling, specifically for fish.",Q01731,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,do you want to know more about the grilling process,No. I want tips for grilling fish.,Q02162,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg
273,Find tips on grilling fish.,F0244,160,grilling,do you want to see cookbooks for grilling,"No, I’m not interested in that right now.  ",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,Do you want to see grilling activities?,"No, I would prefer to skip that.",Q05041,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,are you looking for gas grill instruction,I am interested in some techniques for grilling fish specifically.,Q00844,160_Q00844_2841_1.jpg,160_Q00844_2841_2.jpg,160_Q00844_2841_3.jpg,What type of food are you hoping to try grilling?,I would like to grill fish.,Q05044,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg
274,Find tips on grilling fish.,F0244,160,grilling,are you looking for gas grill instruction,"No, I'm not interested in that.  ",Q00844,160_Q00844_2841_1.jpg,160_Q00844_2841_2.jpg,160_Q00844_2841_3.jpg,are you referring to a gas grill,"No, that's not what I'm focusing on.",Q01207,160_Q01207_1128_1.jpg,160_Q01207_1128_2.jpg,160_Q01207_1128_3.jpg,Do you want to see grilling activities?,I'm interested in learning more about the best methods for cooking fish.,Q05041,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,do you want to see cookbooks for grilling,"Not particularly, I'm more interested in finding tips on grilling fish.",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg
275,Find tips on grilling fish.,F0244,160,grilling,do you need to know how to trun a grill on,"No, I don't need to know that.  ",Q01719,160_Q01719_478_1.jpg,160_Q01719_478_2.jpg,160_Q01719_478_3.jpg,do you want more informaiton about grilling vegtables,"No, I'm not looking for that information.",Q01843,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,do you want to know more about the grilling process,I'm interested in some specific techniques for a certain type of food preparation.,Q02162,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg,do you want to see cookbooks for grilling,I'm primarily interested in finding tips on grilling fish.,Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg
276,Find tips on grilling fish.,F0244,160,grilling,Do you want to compare the different companies that make grilling equipment?,"No, I'm not interested in comparing equipment.  ",Q05042,160_Q05042_1100_1.jpg,160_Q05042_1100_2.jpg,160_Q05042_1100_3.jpg,do you want to see cookbooks for grilling,"No, I'm not looking for cookbooks at this time.",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,Do you want to see grilling activities?,"I have a general interest in grilling, particularly when it comes to cooking different types of food.",Q05041,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,do you want to know about indoor or outdoor grilling,"I'm more interested in finding tips on grilling fish, whether it's indoor or outdoor grilling.",Q01981,160_Q01981_1235_1.jpg,160_Q01981_1235_2.jpg,160_Q01981_1235_3.jpg
277,Find tips on grilling fish.,F0244,160,grilling,do you want more informaiton about grilling vegtables,I'm not considering that option.  ,Q01843,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,Do you want to see grilling activities?,That's not something I'm interested in.,Q05041,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,are you looking for a grill for grilling food,"I’m interested in learning more about the best techniques for grilling, particularly when it comes to seafood.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,are you looking for a recipe for grilled fish,"Yes, I want recipes and tips.",Q00661,160_Q00661_740_1.jpg,160_Q00661_740_2.jpg,160_Q00661_740_3.jpg
278,Find tips on grilling fish.,F0244,160,grilling,do you want more informaiton about grilling vegtables,"1. No, I'm focused on a different type of cooking.  ",Q01843,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,are you looking for a grill for grilling food,"2. No, I'm seeking something more specific.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,Do you want to find out which grilling fuel is right for you?,I'm interested in learning more about the right fuel options for grilling.,Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,are you referring to a gas grill,"I'm actually looking to find tips on grilling fish, regardless of whether it's on a gas grill or not.",Q01207,160_Q01207_1128_1.jpg,160_Q01207_1128_2.jpg,160_Q01207_1128_3.jpg
279,Find tips on grilling fish.,F0244,160,grilling,do you want more informaiton about grilling vegtables,I'm not looking for that information.  ,Q01843,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,do you need to know where you can purchase a grill,"No, I'm not interested in exploring that option.",Q01731,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,Do you want to see grilling activities?,"I'm interested in exploring different ways to prepare fish on the grill, but I don’t want to disclose everything just yet.",Q05041,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,do you want to see cookbooks for grilling,"I appreciate the suggestion, but I'm specifically looking for tips on grilling fish.",Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg
280,Find instructions for grilling chicken.,F0245,160,grilling,Do you want to compare the different companies that make grilling equipment?,"No, that's not what I need right now.  ",Q05042,160_Q05042_1100_1.jpg,160_Q05042_1100_2.jpg,160_Q05042_1100_3.jpg,are you looking for a grill for grilling food,"No, that's not my focus at the moment.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,are you interested in grilling equipment,I'm primarily looking for information related to grilling techniques.,Q00218,160_Q00218_1794_1.jpg,160_Q00218_1794_2.jpg,160_Q00218_1794_3.jpg,do you want to see cookbooks for grilling,I'm not specifically looking for cookbooks; I want to find instructions for grilling chicken.,Q02432,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg
281,Find instructions for grilling chicken.,F0245,160,grilling,are you looking for a recipe for grilled fish,"No, I'm not interested in that.  ",Q00661,160_Q00661_740_1.jpg,160_Q00661_740_2.jpg,160_Q00661_740_3.jpg,What type of food are you hoping to try grilling?,"No, that's not what I want to explore.",Q05044,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg,Do you want to find out which grilling fuel is right for you?,"I just need general instructions, but I'm also curious about the different methods and tools available for grilling chicken.",Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,are you interested in grilling a specefic food,"Yes, i want to grill chicken and need instructions for that.",Q00217,160_Q00217_2682_1.jpg,160_Q00217_2682_2.jpg,160_Q00217_2682_3.jpg
282,Find instructions for grilling chicken.,F0245,160,grilling,Do you want to see recipes?,"No, I don't need any recipes at the moment.  ",Q05040,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,are you looking for a grill for grilling food,"No, I have everything I need for cooking.",Q00624,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,Do you want to see different grills?,I'm primarily interested in learning about grilling techniques right now.,Q05039,160_Q05039_1097_1.jpg,160_Q05039_1097_2.jpg,160_Q05039_1097_3.jpg,Do you want to find out which grilling fuel is right for you?,I just need instructions about grilling chicken in general.,Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg
283,Find instructions for grilling chicken.,F0245,160,grilling,are you looking for gas grill instruction,"No, that's not my focus right now.  ",Q00844,160_Q00844_2841_1.jpg,160_Q00844_2841_2.jpg,160_Q00844_2841_3.jpg,What type of food are you hoping to try grilling?,"No, I'm not aiming for that at the moment.",Q05044,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg,Do you want to find out which grilling fuel is right for you?,"I have some specific ideas in mind, but I’m primarily seeking general instructions for grilling chicken.",Q05043,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,do you want to know about indoor or outdoor grilling,"I'm interested in finding instructions for grilling chicken, regardless of whether it's indoors or outdoors.",Q01981,160_Q01981_1235_1.jpg,160_Q01981_1235_2.jpg,160_Q01981_1235_3.jpg
284,Find the Grilling Magazine website.,F0246,160,grilling,are you referring to a gas grill,"No, I can't assist you with that.  ",Q01207,160_Q01207_1128_1.jpg,160_Q01207_1128_2.jpg,160_Q01207_1128_3.jpg,are you looking for a recipe for grilled fish,"No, that's not what I'm interested in.",Q00661,160_Q00661_740_1.jpg,160_Q00661_740_2.jpg,160_Q00661_740_3.jpg,are you interested in a recipe for grilled chicken,I'm currently more interested in finding a specific website related to grilling.,Q00098,160_Q00098_3064_1.jpg,160_Q00098_3064_2.jpg,160_Q00098_3064_3.jpg,do you need to know how to trun a grill on,No. I wanted to find the Grilling Magazine website.,Q01719,160_Q01719_478_1.jpg,160_Q01719_478_2.jpg,160_Q01719_478_3.jpg
285,What are some small space decorating dos and don'ts?,F0248,161,furniture for small spaces,"What specific furniture are you looking for? Chairs, tables, etc.?",I'm not looking for any specific guidance on that.  ,Q04082,161_Q04082_140_1.jpg,161_Q04082_140_2.jpg,161_Q04082_140_3.jpg,do you want to sell furniture,That's not something I'm interested in.,Q02451,161_Q02451_2974_1.jpg,161_Q02451_2974_2.jpg,161_Q02451_2974_3.jpg,are you looking for living room furniture,I have some ideas in mind for optimizing the layout in a limited area.,Q00932,161_Q00932_3492_1.jpg,161_Q00932_3492_2.jpg,161_Q00932_3492_3.jpg,Are you looking for home furniture for small spaces?,"No, I'm looking for small space decorating dos and donts.",Q04079,161_Q04079_137_1.jpg,161_Q04079_137_2.jpg,161_Q04079_137_3.jpg
286,How does furniture arrangement create an illusion of more space?,F0250,161,furniture for small spaces,Would you like a table?,"1. Not at the moment, I'm focused on other things right now.",Q04083,161_Q04083_141_1.jpg,161_Q04083_141_2.jpg,161_Q04083_141_3.jpg,do you want to sell furniture,2. I'm not interested in that at this time.,Q02451,161_Q02451_2974_1.jpg,161_Q02451_2974_2.jpg,161_Q02451_2974_3.jpg,"What specific furniture are you looking for? Chairs, tables, etc.?",I'm interested in specific images and additional resources related to furniture positioning in compact spaces.,Q04082,161_Q04082_140_1.jpg,161_Q04082_140_2.jpg,161_Q04082_140_3.jpg,are you interesting in buying furniture,"No, I want tips on arrangement. I have too much furniture.",Q00583,161_Q00583_2699_1.jpg,161_Q00583_2699_2.jpg,161_Q00583_2699_3.jpg
287,How does furniture arrangement create an illusion of more space?,F0250,161,furniture for small spaces,do you want to learn how to make furniture,"No, I have no interest in that topic.  ",Q02383,161_Q02383_969_1.jpg,161_Q02383_969_2.jpg,161_Q02383_969_3.jpg,do you want to sell furniture,"No, that’s not something I’m considering.",Q02451,161_Q02451_2974_1.jpg,161_Q02451_2974_2.jpg,161_Q02451_2974_3.jpg,are you looking for bedroom furniture,"I'm not specifically looking for bedroom furniture right now, but I am interested in how different arrangements can enhance space.",Q00763,161_Q00763_2922_1.jpg,161_Q00763_2922_2.jpg,161_Q00763_2922_3.jpg,do you need any specific tips on decoration,"Yes, can you find how to arrange furniture to make a space look bigger.",Q01607,161_Q01607_371_1.jpg,161_Q01607_371_2.jpg,161_Q01607_371_3.jpg
288,"""What are """"do not resuscitate"""" orders and how do you get one in place?""",F0252,162,dnr,do you mean the department of natural resources,"No, that's not what I'm looking for.  ",Q01573,162_Q01573_3160_1.jpg,162_Q01573_3160_2.jpg,162_Q01573_3160_3.jpg,Are you wanting to see logos for the Department of Natrual Resources?,"No, that's not my interest.",Q04225,162_Q04225_283_1.jpg,162_Q04225_283_2.jpg,162_Q04225_283_3.jpg,what specific dnr are you referring to,I'm referring to a specific type of order related to medical preferences. I'm interested in understanding the process to establish it.,Q02879,162_Q02879_3615_1.jpg,162_Q02879_3615_2.jpg,162_Q02879_3615_3.jpg,would you like to know more about hunting rules,"No, I want to find out about do not resuscitate orders and how to get one in place",Q03530,162_Q03530_1962_1.jpg,162_Q03530_1962_2.jpg,162_Q03530_1962_3.jpg
